IP,TTL,RTT,Count package,Traceroute
192.178.25.110,109,110,4,"
Трассировка маршрута к lcmadb-ad-in-f14.1e100.net [192.178.25.110]
с максимальным числом прыжков 3:

  1     1 ms     1 ms     1 ms  RT.IGD_Rostelecom [192.168.0.1] 
  2     3 ms     3 ms     3 ms  90.189.224.1 
  3    10 ms     3 ms     3 ms  213.228.109.148 

Трассировка завершена.
"
77.88.55.88,55,53,4,"
Трассировка маршрута к yandex.ru [77.88.55.88]
с максимальным числом прыжков 3:

  1    <1 мс    <1 мс    <1 мс  RT.IGD_Rostelecom [192.168.0.1] 
  2     3 ms     3 ms     4 ms  90.189.224.1 
  3     4 ms     3 ms     3 ms  213.228.109.140 

Трассировка завершена.
"
140.82.121.4,54,83,4,"
Трассировка маршрута к lb-140-82-121-4-fra.github.com [140.82.121.4]
с максимальным числом прыжков 3:

  1    <1 мс    <1 мс    <1 мс  RT.IGD_Rostelecom [192.168.0.1] 
  2     5 ms     3 ms     8 ms  90.189.224.1 
  3     5 ms     3 ms     3 ms  213.228.109.140 

Трассировка завершена.
"
198.252.206.1,57,47,4,"
Трассировка маршрута к stackoverflow.com [198.252.206.1]
с максимальным числом прыжков 3:

  1    <1 мс    <1 мс    <1 мс  RT.IGD_Rostelecom [192.168.0.1] 
  2     1 ms     3 ms     3 ms  90.189.224.1 
  3     2 ms     4 ms     3 ms  213.228.109.140 

Трассировка завершена.
"
103.224.182.245,43,230,4,"
Трассировка маршрута к lb-182-245.above.com [103.224.182.245]
с максимальным числом прыжков 3:

  1    <1 мс    <1 мс    <1 мс  RT.IGD_Rostelecom [192.168.0.1] 
  2    12 ms     3 ms     3 ms  90.189.224.1 
  3     6 ms     3 ms     3 ms  213.228.109.148 

Трассировка завершена.
"
