IP,TTL,RTT,count package
142.250.65.78,113,225,4
5.255.255.77,57,71,4
140.82.121.4,54,91,4
198.252.206.1,58,105,4
103.224.182.245,35,269,4
87.240.132.78,56,68,4
89.221.239.1,55,82,4
178.248.237.68,58,76,4
185.15.59.224,54,90,4
89.221.239.1,55,81,4
